Brush,Weight (lbs),Time (sec),Velocity (in/sec),Pressure (lbs/in²)
AngleOn™,0.167,6.64,4.56,0.05
AngleOn™,0.167,6.64,4.56,0.05
AngleOn™,0.167,6.65,4.55,0.05
AngleOn™,0.167,6.67,4.54,0.05
AngleOn™,0.167,6.67,4.54,0.05
AngleOn™,0.246,8,4.25,0.17
AngleOn™,0.246,8.12,4.19,0.17
AngleOn™,0.246,8.08,4.21,0.17
AngleOn™,0.246,8.16,4.17,0.17
AngleOn™,0.246,8.09,4.20,0.17
AngleOn™,1.875,9.63,3.17,0.25
AngleOn™,1.875,9.69,3.15,0.25
AngleOn™,1.875,9.88,3.09,0.25
AngleOn™,1.875,9.83,3.10,0.25
AngleOn™,1.875,9.81,3.11,0.25
AngleOn™,3.75,11.11,2.75,0.5
AngleOn™,3.75,10.96,2.78,0.5
AngleOn™,3.75,11.08,2.75,0.5
AngleOn™,3.75,11.07,2.76,0.5
AngleOn™,3.75,11.02,2.77,0.5
AngleOn™,5.625,12.32,2.48,0.75
AngleOn™,5.625,12.22,2.50,0.75
AngleOn™,5.625,12.83,2.38,0.75
AngleOn™,5.625,12.67,2.41,0.75
AngleOn™,5.625,12.62,2.42,0.75
AngleOn™,7.5,13.9,2.19,1
AngleOn™,7.5,13.73,2.22,1
AngleOn™,7.5,14.14,2.16,1
AngleOn™,7.5,13.65,2.23,1
AngleOn™,7.5,13.73,2.22,1
AngleOn™,9.375,15.22,2.00,1.25
AngleOn™,9.375,15.01,2.03,1.25
AngleOn™,9.375,14.9,2.05,1.25
AngleOn™,9.375,14.98,2.04,1.25
AngleOn™,9.375,15.12,2.02,1.25
AngleOn™,11.25,16.48,1.85,1.5
AngleOn™,11.25,16.68,1.83,1.5
AngleOn™,11.25,16.41,1.86,1.5
AngleOn™,11.25,16.53,1.85,1.5
AngleOn™,11.25,16.65,1.83,1.5
AngleOn™,13.125,19.06,1.60,1.75
AngleOn™,13.125,18.9,1.61,1.75
AngleOn™,13.125,19.19,1.59,1.75
AngleOn™,13.125,19.07,1.60,1.75
AngleOn™,13.125,18.95,1.61,1.75
AngleOn™,15,23.16,1.32,2
AngleOn™,15,22.78,1.34,2
AngleOn™,15,22.93,1.33,2
AngleOn™,15,22.9,1.33,2
AngleOn™,15,23.05,1.32,2
AngleOn™,18.75,36.9,0.83,2.5
AngleOn™,18.75,35.68,0.85,2.5
AngleOn™,18.75,35.25,0.87,2.5
AngleOn™,18.75,36.08,0.85,2.5
AngleOn™,18.75,36.12,0.84,2.5
AngleOn™,22.5,72.85,0.42,3
AngleOn™,22.5,72.43,0.42,3
AngleOn™,22.5,72.95,0.42,3
AngleOn™,22.5,72.81,0.42,3
AngleOn™,22.5,72.68,0.42,3
Competitor,0.167,10.02,3.29,0.05
Competitor,0.167,9.94,3.32,0.05
Competitor,0.167,10.05,3.28,0.05
Competitor,0.167,10.17,3.24,0.05
Competitor,0.167,10.17,3.24,0.05
Competitor,0.246,11.63,2.92,0.17
Competitor,0.246,12.06,2.82,0.17
Competitor,0.246,12.16,2.80,0.17
Competitor,0.246,12.17,2.79,0.17
Competitor,0.246,12.42,2.74,0.17
Competitor,1.875,13.10,2.10,0.25
Competitor,1.875,13.29,2.07,0.25
Competitor,1.875,13.10,2.10,0.25
Competitor,1.875,13.11,2.10,0.25
Competitor,1.875,13.19,2.08,0.25
Competitor,3.75,14.10,1.95,0.5
Competitor,3.75,13.86,1.98,0.5
Competitor,3.75,14.57,1.89,0.5
Competitor,3.75,13.97,1.97,0.5
Competitor,3.75,14.22,1.93,0.5
Competitor,5.625,15.25,1.80,0.75
Competitor,5.625,15.17,1.81,0.75
Competitor,5.625,15.23,1.81,0.75
Competitor,5.625,15.22,1.81,0.75
Competitor,5.625,15.16,1.81,0.75
Competitor,7.5,15.48,1.78,1
Competitor,7.5,15.63,1.76,1
Competitor,7.5,15.61,1.76,1
Competitor,7.5,15.53,1.77,1
Competitor,7.5,15.68,1.75,1
Competitor,9.375,15.95,1.72,1.25
Competitor,9.375,15.85,1.74,1.25
Competitor,9.375,16.09,1.71,1.25
Competitor,9.375,16.12,1.71,1.25
Competitor,9.375,16.01,1.72,1.25
Competitor,11.25,16.58,1.66,1.5
Competitor,11.25,16.48,1.67,1.5
Competitor,11.25,16.52,1.66,1.5
Competitor,11.25,16.63,1.65,1.5
Competitor,11.25,16.61,1.66,1.5
Competitor,13.125,18.93,1.45,1.75
Competitor,13.125,19.19,1.43,1.75
Competitor,13.125,19.28,1.43,1.75
Competitor,13.125,19.47,1.41,1.75
Competitor,13.125,19.31,1.42,1.75
Competitor,15,23.85,1.15,2
Competitor,15,23.73,1.16,2
Competitor,15,23.48,1.17,2
Competitor,15,23.62,1.16,2
Competitor,15,23.64,1.16,2
Competitor,18.75,34.95,0.79,2.5
Competitor,18.75,35.33,0.78,2.5
Competitor,18.75,35.94,0.77,2.5
Competitor,18.75,35.60,0.77,2.5
Competitor,18.75,35.41,0.78,2.5
Competitor,22.5,66.91,0.41,3.00
Competitor,22.5,67.25,0.41,3.00
Competitor,22.5,67.18,0.41,3.00
Competitor,22.5,67.02,0.41,3.00
Competitor,22.5,67.08,0.41,3.00
XT10,0.167,5.9,5.59,0.05
XT10,0.167,5.92,5.57,0.05
XT10,0.167,5.86,5.63,0.05
XT10,0.167,5.9,5.59,0.05
XT10,0.167,5.86,5.63,0.05
XT10,0.246,6.28,5.41,0.17
XT10,0.246,6.33,5.37,0.17
XT10,0.246,6.35,5.35,0.17
XT10,0.246,6.4,5.31,0.17
XT10,0.246,6.37,5.34,0.17
XT10,1.875,9.55,3.19,0.25
XT10,1.875,9.40,3.24,0.25
XT10,1.875,9.70,3.14,0.25
XT10,1.875,9.58,3.18,0.25
XT10,1.875,9.61,3.17,0.25
XT10,3.75,10.11,3.02,0.5
XT10,3.75,10.23,2.98,0.5
XT10,3.75,10.07,3.03,0.5
XT10,3.75,10.17,3.00,0.5
XT10,3.75,10.08,3.03,0.5
XT10,5.625,10.72,2.85,0.75
XT10,5.625,10.66,2.86,0.75
XT10,5.625,10.50,2.90,0.75
XT10,5.625,10.61,2.87,0.75
XT10,5.625,10.58,2.88,0.75
XT10,7.5,11.76,2.59,1
XT10,7.5,11.33,2.69,1
XT10,7.5,11.23,2.72,1
XT10,7.5,11.21,2.72,1
XT10,7.5,11.38,2.68,1
XT10,9.375,13.02,2.34,1.25
XT10,9.375,12.64,2.41,1.25
XT10,9.375,13.05,2.34,1.25
XT10,9.375,13.50,2.26,1.25
XT10,9.375,13.18,2.31,1.25
XT10,11.25,18.17,1.68,1.5
XT10,11.25,18.02,1.69,1.5
XT10,11.25,17.98,1.70,1.5
XT10,11.25,18.36,1.66,1.5
XT10,11.25,18.28,1.67,1.5
XT10,13.125,,,1.75
XT10,13.125,,,1.75
XT10,13.125,,,1.75
XT10,13.125,,,1.75
XT10,13.125,,,1.75
XT10,15,,,2
XT10,15,,,2
XT10,15,,,2
XT10,15,,,2
XT10,15,,,2
XT10,18.75,,,2.5
XT10,18.75,,,2.5
XT10,18.75,,,2.5
XT10,18.75,,,2.5
XT10,18.75,,,2.5
XT10,22.5,,,3.00
XT10,22.5,,,3.00
XT10,22.5,,,3.00
XT10,22.5,,,3.00
XT10,22.5,,,3.00
XT16,0.167,7.82,4.22,0.05
XT16,0.167,7.93,4.16,0.05
XT16,0.167,7.79,4.24,0.05
XT16,0.167,7.94,4.16,0.05
XT16,0.167,7.78,4.24,0.05
XT16,0.246,8.68,3.92,0.17
XT16,0.246,8.86,3.84,0.17
XT16,0.246,8.80,3.86,0.17
XT16,0.246,8.90,3.82,0.17
XT16,0.246,8.83,3.85,0.17
XT16,1.875,31.04,0.98,0.25
XT16,1.875,31.50,0.97,0.25
XT16,1.875,31.26,0.98,0.25
XT16,1.875,31.84,0.96,0.25
XT16,1.875,31.75,0.96,0.25
XT16,3.75,17.33,1.76,0.5
XT16,3.75,16.71,1.83,0.5
XT16,3.75,16.74,1.82,0.5
XT16,3.75,16.62,1.84,0.5
XT16,3.75,16.41,1.86,0.5
XT16,5.625,13.37,2.28,0.75
XT16,5.625,13.36,2.28,0.75
XT16,5.625,13.26,2.30,0.75
XT16,5.625,13.19,2.31,0.75
XT16,5.625,12.95,2.36,0.75
XT16,7.5,11.81,2.58,1
XT16,7.5,11.92,2.56,1
XT16,7.5,11.43,2.67,1
XT16,7.5,11.99,2.54,1
XT16,7.5,11.44,2.67,1
XT16,9.375,12.71,2.40,1.25
XT16,9.375,12.72,2.40,1.25
XT16,9.375,12.68,2.41,1.25
XT16,9.375,13.11,2.33,1.25
XT16,9.375,13.08,2.33,1.25
XT16,11.25,13.35,2.28,1.5
XT16,11.25,13.45,2.27,1.5
XT16,11.25,13.54,2.25,1.5
XT16,11.25,13.42,2.27,1.5
XT16,11.25,13.40,2.28,1.5
XT16,13.125,13.77,2.21,1.75
XT16,13.125,13.94,2.19,1.75
XT16,13.125,14.47,2.11,1.75
XT16,13.125,14.23,2.14,1.75
XT16,13.125,14.17,2.15,1.75
XT16,15,15.85,1.92,2
XT16,15,15.36,1.99,2
XT16,15,15.26,2.00,2
XT16,15,15.81,1.93,2
XT16,15,15.76,1.94,2
XT16,18.75,22.90,1.33,2.5
XT16,18.75,23.00,1.33,2.5
XT16,18.75,22.95,1.33,2.5
XT16,18.75,23.07,1.32,2.5
XT16,18.75,22.95,1.33,2.5
XT16,22.5,31.28,0.98,3.00
XT16,22.5,31.75,0.96,3.00
XT16,22.5,31.52,0.97,3.00
XT16,22.5,31.50,0.97,3.00
XT16,22.5,31.66,0.96,3.00
XT16,26.25,68.67,0.44,3.50
XT16,26.25,69.74,0.44,3.50
XT16,26.25,69.14,0.44,3.50
XT16,26.25,69.38,0.44,3.50
XT16,26.25,69.33,0.44,3.50
